ID,MASS,TYPE,NAME,ENGINE,LAUNCH,LENGTH,ORIGIN,WEIGHT,WARHEAD,DESIGNED,DIAMETER,GUIDANCE,PROPELLANT
863,"1,200 kg",Tactical ballistic missile,Nasr (missile),Single-tage olid propellant,Nasr Missile and Launch Vehicle,6.0m," Pakistan
",,"400 kg conventional high explosive, cluster munition[1]  or plutonium or uranium nuclear warhead tactical nuclear weapon[2]",,0.4m,,Solid fuel
224,"1,600 kg (3,500 lb)"," 64 tank
",Hsiung Feng IIE,turbofan with olid rocket booter,,600 cm (236 in)," Taiwan
",,220 kg (490 lb),,510 mm (20 in),"GPS, TERCOM, and inertial guidance with automatic target recognition for terminal guidance",
469,," 64 tank
",Yun Feng,,Transporter erector launcher,," Taiwan
",,,,,,Liquid fuel ramjet engine with solid rocket booster
326,36 pounds (16 kg)[3],Man-portable air-defense system,QW missile,,MANPADS,1.59 metres (5.2 ft)[1], China,,,,,Infrared homing[4],
627,"50 kg, 100 kg, 250 kg, 500 kg","Precision-guided munition, glide bomb",LS PGB,,Aircraft,, China,,Various gravity bombs,,,INS with GPS or laser guidance,
236,6–7 t (6.6–7.7 short tons)[2][3]," 53
",Sagarika (missile),,"Arihant-class submarines, S5-class submarines",10 m (33 ft), India," 1,000 kg (2,200 lb)"," 1,000 kg (2,200 lb)",,0.74 m (2.4 ft),Mid-course: Inertial navigation system with GPS/NavIC satellite guidanceTerminal: Terrain contour matching[6],Solid propellant
320,"4,500 kg"," 53
",Prithvi (missile),,8 x 8 Tata transporter erector launcher,8.53m, India," 500 kg (1,100 lb) - 1,000 kg (2,200 lb)[2]","Conventional (blast, fragmentation, thermobaric) and tactical nuclear weapon",,0.9m,Strap-down inertial navigation system,"Liquid fuel (Prithvi I, Prithvi II), Solid fuel (Prithvi III)"
798,636.47 kg,Beyond-visual-range air-to-air missile,Fakour-90,,"MIG-29, SU-24, F-14, F-4 Phantom II",4 m, Iran,,High explosive blast-fragmentation,,,"inertial guidance, two way data link, active radar homing",
743,4.5 tons," 69 RPG
",Kheibar Shekan,,,10.5 meters, Iran, 500 kg, 500 kg,,80 centimeters,,Solid fuel engine
744,," 69 RPG
",Fattah-1 (missile),,,, Iran, 350-450 kg[1], 350-450 kg[1],,,,Solid fuel engine
727,,Rocket artillery[1][2],Noor (artillery rocket),,Hadid HM 20[4],2.05 m[3], Iran[1][2],,,,122 mm[1][2],,
828,"≈80,000–150,000 kilograms (180,000–330,000 lb)[1][2]"," 63
",Hwasong-17,2 RD-250-type rocket engine (firt tage)[3][4],11-axle transporter erector launcher (TEL),≈24–26 m (79–85 ft)[1][2], North Korea," ≈2,000–3,500 kg (4,400–7,700 lb)[1][2]"," ≈2,000–3,500 kg (4,400–7,700 lb)[1][2]",,≈2.4–2.9 metres (7.9–9.5 ft)[1][2],,liquid rocket engine
21,"1,750 kg (3,860 lb)",SRBM,Abdali-I,Single-tage,"Transporter erector launcher (TEL), Silo[3]",9.75 m (384 in), Pakistan," 500 kg (1,100 lb)"," 500 kg (1,100 lb)",1995–97,0.56 m (22 in),"Inertial, Terminal",Solid-propellent
